,OBJECTID,ID,TransferYear,Directory,FactSheetUrl,ZoomLevel,Latitude,Longitude,Name,NameMnemonic,StateCode,PublicWebpageUrl,RegulatoryDriver,MaintenanceCategory,SiteCoordSysWkid,SiteCoordSysWkt,AvailableOnWeb,ShortName,LastUpdated,LastRun,geometry
0,1,1,1998,\NM\AmbrosiaLakeDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1478,15,35.408798,-107.799285,"Ambrosia Lake, NM, Disposal Site",AMB,NM,https://www.energy.gov/lm/ambrosia-lake-new-mexico-disposal-site,UMTRCA Title I,2,32014,,Y,Ambrosia Lake Disposal Site,1.60E+12,1.61E+12,POINT (-12000161.5141 4219574.868500002)
1,2,2,2008,\AK\Amchitka,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=491,13,51.436583,179.179778,"Amchitka, AK, Site",AMC,AK,https://www.energy.gov/lm/amchitka-alaska-site,Nevada Offsites,2,102640,,Y,Amchitka Site,1.60E+12,1.61E+12,POINT (19946201.6474 6698886.590599999)
2,3,3,2004,\NM\L-BarDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1515,15,35.187651,-107.334722,"L-Bar, NM, Disposal Site",BAR,NM,https://www.energy.gov/lm/l-bar-new-mexico-disposal-site,UMTRCA Title II,2,6318,,Y,L-Bar Disposal Site,1.61E+12,1.61E+12,POINT (-11948446.5975 4189411.496299997)
3,4,4,1997,\NM\BluewaterDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1491,14,35.270623,-107.947483,"Bluewater, NM, Disposal Site",BLU,NM,https://www.energy.gov/lm/bluewater-new-mexico-disposal-site,UMTRCA Title II,2,6318,,Y,Bluewater Disposal Site,1.60E+12,1.61E+12,POINT (-12016658.84 4200718.815499999)
4,5,5,2004,\PR\BONUSDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1787,18,18.364744,-67.268557,"BONUS, PR, Decommissioned Reactor Site",BON,PR,https://www.energy.gov/lm/bonus-puerto-rico-decommissioned-reactor-site,D&D,2,-1,,Y,BONUS Decommissioned Reactor Site,1.61E+12,1.61E+12,POINT (-7488301.511600001 2080285.691300001)
5,6,6,1994,\PA\BurrellDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1806,15,40.433059,-79.242531,"Burrell, PA, Disposal Site",BUR,PA,https://www.energy.gov/lm/burrell-pennsylvania-disposal-site,UMTRCA Title I,2,6318,,Y,Burrell Disposal Site,1.61E+12,1.61E+12,POINT (-8821238.200099999 4929074.244400002)
6,7,7,1996,\PA\CanonsburgDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1811,17,40.256152,-80.199721,"Canonsburg, PA, Disposal Site",CAN,PA,https://www.energy.gov/lm/canonsburg-pennsylvania-disposal-site,UMTRCA Title I,2,6318,,Y,Canonsburg Disposal Site,1.61E+12,1.61E+12,POINT (-8927792.103499999 4903235.708700001)
7,8,8,2008,\NV\CentralNevadaTestArea,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1376,13,38.634232,-116.216219,"Central Nevada Test Area, NV",CNT,NV,https://www.energy.gov/lm/central-nevada-test-area-cnta-nevada-site,Nevada Offsites,2,6318,,Y,Central Nevada Test Area,1.60E+12,1.61E+12,POINT (-12937130.321 4669413.050800003)
8,9,9,1996,\CO\DurangoDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=942,16,37.248481,-107.903876,"Durango, CO, Disposal Site",DUD,CO,https://www.energy.gov/lm/durango-colorado-disposal-and-processing-sites,UMTRCA Title I,2,6318,,Y,Durango Disposal Site,1.60E+12,1.61E+12,POINT (-12011804.5309 4473798.660899997)
9,10,10,1996,\CO\DurangoProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=942,15,37.26562,-107.884723,"Durango, CO, Processing Site",DUP,CO,https://www.energy.gov/lm/durango-colorado-disposal-and-processing-sites,UMTRCA Title I,2,102655,,Y,Durango Processing Site,1.60E+12,1.61E+12,POINT (-12009672.4287 4476195.744400002)
10,11,11,1996,\SD\EdgemontDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1844,15,43.273539,-103.794231,"Edgemont, SD, Disposal Site",EDG,SD,https://www.energy.gov/lm/edgemont-south-dakota-disposal-site,UMTRCA Title II,2,32035,,Y,Edgemont Disposal Site,1.60E+12,1.61E+12,POINT (-11554320.9422 5353700.3869)
11,12,12,1997,\TX\FallsCityDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1856,16,28.905375,-98.132276,"Falls City, TX, Disposal Site",FCT,TX,https://www.energy.gov/lm/falls-city-texas-disposal-site,UMTRCA Title I,2,6318,,Y,Falls City Disposal Site,1.60E+12,1.61E+12,POINT (-10924034.9947 3363607.896600001)
12,13,13,2008,\OH\FernaldPreserve,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=7241,14,39.29945,-84.688331,"Fernald Preserve, OH, Site",FER,OH,https://www.energy.gov/lm/fernald-preserve-ohio-site,CERCLA/RCRA,3,3735,,Y,Fernald Preserve Site,1.60E+12,1.61E+12,POINT (-9427461.883099999 4764656.437100001)
13,14,14,2002,\CO\GrandJunction,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=948,16,39.043371,-108.573355,"Grand Junction, CO, Site",GJO,CO,https://www.energy.gov/lm/grand-junction-colorado-site,D&D,2,6428,,Y,Grand Junction Site,1.60E+12,1.61E+12,POINT (-12086330.5923 4727886.001599997)
14,15,15,1999,\CO\GrandJunctionProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=960,16,39.055441,-108.54925,"Grand Junction, CO, Processing Site",GJT,CO,https://www.energy.gov/lm/grand-junction-colorado-disposal-and-processing-sites,UMTRCA Title I,3,6318,,Y,Grand Junction Processing Site,1.61E+12,1.61E+12,POINT (-12083647.236 4729616.134300001)
15,16,16,2008,\NM\Gnome-Coach,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1513,15,32.263164,-103.866477,"Gnome-Coach, NM, Site",GNO,NM,https://www.energy.gov/lm/gnome-coach-new-mexico-site,Nevada Offsites,2,6318,,Y,Gnome-Coach Site,1.60E+12,1.61E+12,POINT (-11562363.3301 3797904.781000003)
16,17,17,1999,\CO\GrandJunctionDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=960,16,38.902364,-108.338213,"Grand Junction, CO, Disposal Site",GRJ,CO,https://www.energy.gov/lm/grand-junction-colorado-disposal-and-processing-sites,UMTRCA Title I,3,26754,,Y,Grand Junction Disposal Site,1.60E+12,1.61E+12,POINT (-12060154.7046 4707695.687200002)
17,18,18,1998,\UT\GreenRiverDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1866,17,38.978164,-110.136749,"Green River, UT, Disposal Site",GRN,UT,https://www.energy.gov/lm/green-river-utah-disposal-site,UMTRCA Title I,2,6318,,Y,Green River Disposal Site,1.60E+12,1.61E+12,POINT (-12260366.8163 4718544.235399999)
18,19,19,2008,\NM\Gasbuggy,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1500,15,36.677903,-107.208999,"Gasbuggy, NM, Site",GSB,NM,https://www.energy.gov/lm/gasbuggy-new-mexico-site,Nevada Offsites,2,6318,,Y,Gasbuggy Site,1.61E+12,1.61E+12,POINT (-11934451.1771 4394305.211300001)
19,20,20,1997,\CO\GunnisonDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=970,16,38.51014,-106.846387,"Gunnison, CO, Disposal Site",GUD,CO,https://www.energy.gov/lm/gunnison-colorado-disposal-and-processing-sites,UMTRCA Title I,2,6318,,Y,Gunnison Disposal Site,1.61E+12,1.61E+12,POINT (-11894085.3939 4651744.268799998)
20,21,21,1997,\CO\GunnisonProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=970,17,38.528258,-106.942532,"Gunnison, CO, Processing Site",GUP,CO,https://www.energy.gov/lm/gunnison-colorado-disposal-and-processing-sites,UMTRCA Title I,2,26754,,Y,Gunnison Processing Site,1.60E+12,1.61E+12,POINT (-11904788.2064 4654322.090599999)
21,22,22,1998,\NE\HallamDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1359,18,40.558519,-96.784697,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,https://www.energy.gov/lm/hallam-nebraska-decommissioned-reactor-site,D&D,2,32006,,Y,Hallam Decommissioned Reactor Site,1.60E+12,1.61E+12,POINT (-10774023.1866 4947439.794100001)
22,23,23,1997,\UT\MexicanHatDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1872,16,37.133607,-109.874549,"Mexican Hat, UT, Disposal Site",HAT,UT,https://www.energy.gov/lm/mexican-hat-utah-disposal-site,UMTRCA Title I,2,32044,,Y,Mexican Hat Disposal Site,1.60E+12,1.61E+12,POINT (-12231178.8458 4457746.278399996)
23,24,24,1995,\OR\LakeviewDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1776,16,42.285784,-120.433462,"Lakeview, OR, Disposal Site",LKD,OR,https://www.energy.gov/lm/lakeview-oregon-disposalprocessing-sites,UMTRCA Title I,2,32027,,Y,Lakeview Disposal Site,1.60E+12,1.61E+12,POINT (-13406591.6643 5203885.098399997)
24,25,25,1995,\OR\LakeviewProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1776,15,42.21008,-120.36367,"Lakeview, OR, Processing Site",LKP,OR,https://www.energy.gov/lm/lakeview-oregon-disposalprocessing-sites,UMTRCA Title I,2,32027,,Y,Lakeview Processing Site,1.60E+12,1.61E+12,POINT (-13398822.4544 5192500.540600002)
25,26,26,1994,\ID\LowmanDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1203,17,44.08479,-115.606689,"Lowman, ID, Disposal Site",LOW,ID,https://www.energy.gov/lm/lowman-idaho-disposal-site,UMTRCA Title I,2,6318,,Y,Lowman Disposal Site,1.61E+12,1.61E+12,POINT (-12869277.7518 5478573.0207)
26,27,27,2010,\CO\MaybellWestDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=6878,16,40.544556,-108.015615,"Maybell West, CO, Disposal Site",MAW,CO,https://www.energy.gov/lm/maybell-west-colorado-disposal-site,UMTRCA Title II,2,102653,,Y,Maybell West Disposal Site,1.60E+12,1.61E+12,POINT (-12024243.2595 4945394.1109)
27,28,28,1999,\CO\MaybellDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=977,16,40.543859,-107.99287,"Maybell, CO, Disposal Site",MAY,CO,https://www.energy.gov/lm/maybell-colorado-disposal-site,UMTRCA Title I,2,26753,,Y,Maybell Disposal Site,1.60E+12,1.61E+12,POINT (-12021711.2977 4945292.006399997)
28,29,29,2012,\OH\Mound,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=594,15,39.627799,-84.286025,"Mound, OH, Site",MND,OH,https://www.energy.gov/lm/mound-ohio-site,CERCLA/RCRA,3,3735,,Y,Mound Site,1.60E+12,1.61E+12,POINT (-9382677.384 4812001.545299999)
29,30,30,2002,\UT\MonticelloDisposalandProcessing,https://www.lm.doe.gov/Monticello/Factsheet_-_Monticello.pdf,14,37.851103,-109.325213,"Monticello, UT, Disposal and Processing Sites",MNT,UT,https://www.energy.gov/lm/monticello-utah-disposal-and-processing-sites,CERCLA/RCRA,3,6627,,Y,Monticello Disposal and Processing Sites,1.60E+12,1.61E+12,POINT (-12170027.042 4558412.961499996)
30,31,31,1997,\AZ\MonumentValleyProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=819,16,36.931242,-109.866515,"Monument Valley, AZ, Processing Site",MON,AZ,https://www.energy.gov/lm/monument-valley-arizona-processing-site,UMTRCA Title I,2,-1,"PROJCS[""AZMON - NAD_1983_2011_StatePlane_Arizona_East_FIPS_0201_Ft"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",699998.6],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-110.1666666666667],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",31.0],UNIT[""Foot_US"",0.3048006096012192]]",Y,Monument Valley Processing Site,1.60E+12,1.61E+12,POINT (-12230284.505 4429527.1373)
31,32,32,1999,\CO\NaturitaDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=981,17,38.360283,-108.75443,"Naturita, CO, Disposal Site",NAD,CO,https://www.energy.gov/lm/naturita-colorado-disposal-and-processing-sites,UMTRCA Title I,2,26755,,Y,Naturita Disposal Site,1.60E+12,1.61E+12,POINT (-12106487.7691 4630447.487099998)
32,33,33,1999,\CO\NaturitaProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=981,16,38.239805,-108.611094,"Naturita, CO, Processing Site",NAP,CO,https://www.energy.gov/lm/naturita-colorado-disposal-and-processing-sites,UMTRCA Title I,2,6318,,Y,Naturita Processing Site,1.60E+12,1.61E+12,POINT (-12090531.6786 4613357.824600004)
33,34,34,2004,\FL\PinellasCounty,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1152,16,27.874948,-82.749012,"Pinellas County, FL, Site",PIN,FL,https://www.energy.gov/lm/pinellas-county-florida-site,CERCLA/RCRA,3,6318,,Y,Pinellas County Site,1.61E+12,1.61E+12,POINT (-9211577.8795 3233216.722199999)
34,35,35,1998,\OH\PiquaDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1747,18,40.1319,-84.23462,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,https://www.energy.gov/lm/piqua-ohio-decommissioned-reactor-site,D&D,2,3735,,Y,Piqua Decommissioned Reactor Site,1.60E+12,1.61E+12,POINT (-9376955.0056 4885128.181500003)
35,36,36,1994,\WV\ParkersburgDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1222,18,39.250115,-81.685817,"Parkersburg, WV, Disposal Site",PKB,WV,https://www.energy.gov/lm/parkersburg-west-virginia-disposal-site,NWPA,2,32050,,Y,Parkersburg Disposal Site,1.60E+12,1.61E+12,POINT (-9093223.5535 4757561.987599999)
36,37,37,2008,\CO\RioBlanco,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1006,15,39.793245,-108.367198,"Rio Blanco, CO, Site",RBL,CO,https://www.energy.gov/lm/rio-blanco-colorado-site,Nevada Offsites,2,26753,,Y,Rio Blanco Site,1.60E+12,1.61E+12,POINT (-12063381.3001 4835942.537100002)
37,38,38,1998,\CO\RifleDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,15,39.614434,-107.801258,"Rifle, CO, Disposal Site",RFL,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2,6318,,Y,Rifle Disposal Site,1.61E+12,1.61E+12,POINT (-12000381.1474 4810070.055)
38,39,39,1998,\CO\RifleNewProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,16,39.524991,-107.814042,"Rifle New, CO, Processing Site",RFN,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2,6318,,Y,Rifle New Processing Site,1.61E+12,1.61E+12,POINT (-12001804.2558 4797153.468800001)
39,40,40,1998,\CO\RifleOldProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,16,39.529479,-107.771654,"Rifle Old, CO, Processing Site",RFO,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2,6318,,Y,Rifle Old Processing Site,1.61E+12,1.61E+12,POINT (-11997085.6452 4797801.190200001)
40,41,41,2008,\CO\RockyFlats,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2963,14,39.889868,-105.209222,"Rocky Flats, CO, Site",RFS,CO,https://www.energy.gov/lm/rocky-flats-site-colorado,CERCLA/RCRA,3,26754,,Y,Rocky Flats Site,1.60E+12,1.61E+12,POINT (-11711837.0198 4849951.0801)
41,42,42,2008,\CO\Rulison,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1065,16,39.405292,-107.948499,"Rulison, CO, Site",RUL,CO,https://www.energy.gov/lm/rulison-colorado-site,Nevada Offsites,2,26754,,Y,Rulison Site,1.60E+12,1.61E+12,POINT (-12016771.9406 4779893.5722)
42,43,43,1991,\WY\RivertonProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1216,16,42.997679,-108.410329,"Riverton, WY, Processing Site",RVT,WY,https://www.energy.gov/lm/riverton-wyoming-processing-site,UMTRCA Title I,2,6318,,Y,Riverton Processing Site,1.61E+12,1.61E+12,POINT (-12068182.621 5311618.573799998)
43,44,44,2008,\MS\Salmon,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1325,15,31.142285,-89.570012,"Salmon, MS, Site",SAL,MS,https://www.energy.gov/lm/salmon-mississippi-site,Nevada Offsites,2,26794,,Y,Salmon Site,1.60E+12,1.61E+12,POINT (-9970888.1262 3651241.3781)
44,45,45,1998,\IL\SiteAPlotMDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1279,16,41.705321,-87.910908,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,https://www.energy.gov/lm/site-aplot-m-illinois-decommissioned-reactor-site,D&D,2,102671,,Y,Site_A_Plot_M Decommissioned Reactor Site,1.60E+12,1.61E+12,POINT (-9786197.513699999 5116939.658100002)
45,46,46,2005,\WY\ShirleyBasinSouthDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1212,14,42.335323,-106.196273,"Shirley Basin South, WY, Disposal Site",SBS,WY,https://www.energy.gov/lm/shirley-basin-south-wyoming-disposal-site,UMTRCA Title II,2,-1,,Y,Shirley Basin South Disposal Site,1.61E+12,1.61E+12,POINT (-11821715.0345 5211342.304200001)
46,47,47,2001,\WA\SherwoodDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1226,15,47.876183,-118.106188,"Sherwood, WA, Disposal Site",SHE,WA,https://www.energy.gov/lm/sherwood-washington-disposal-site,UMTRCA Title II,2,6318,,Y,Sherwood Disposal Site,1.61E+12,1.61E+12,POINT (-13147520.7077 6086280.761399999)
