,OBJECTID,ID,TransferYear,Directory,FactSheetUrl,ZoomLevel,Latitude,Longitude,Name,NameMnemonic,StateCode,PublicWebpageUrl,RegulatoryDriver,MaintenanceCategory,SiteCoordSysWkid,SiteCoordSysWkt,AvailableOnWeb,ShortName,LastUpdated,LastRun,geometry
47,48,48,2008,\NV\Shoal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1379,14,39.200093,-118.381229,"Shoal, NV, Site",SHL,NV,https://www.energy.gov/lm/shoal-nevada-site,Nevada Offsites,2,32009,,Y,Shoal Site,1.60E+12,1.61E+12,POINT (-13178138.1318 4750373.840400003)
48,49,49,1996,\NM\ShiprockDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1527,16,36.770014,-108.684297,"Shiprock, NM, Disposal Site",SHP,NM,https://www.energy.gov/lm/shiprock-new-mexico-disposal-site,UMTRCA Title I,3,32014,,Y,Shiprock Disposal Site,1.60E+12,1.61E+12,POINT (-12098680.5993 4407098.004199997)
49,50,50,1997,\UT\SaltLakeCityDisposal,https://www.lm.doe.gov/Salt_Lake/Fact_Sheet_SLC_Processing_and_Disposal_Sites.pdf,15,40.690666,-113.111437,"Salt Lake City, UT, Disposal Site",SLD,UT,https://www.energy.gov/lm/salt-lake-city-utah-disposal-and-processing-sites,UMTRCA Title I,2,32043,,Y,Salt Lake City Disposal Site,1.60E+12,1.61E+12,POINT (-12591507.5697 4966821.482600003)
50,51,51,1997,\UT\SaltLakeCityProcessing,https://www.lm.doe.gov/Salt_Lake/Fact_Sheet_SLC_Processing_and_Disposal_Sites.pdf,16,40.702191,-111.911462,"Salt Lake City, UT, Processing Site",SLP,UT,https://www.energy.gov/lm/salt-lake-city-utah-disposal-and-processing-sites,UMTRCA Title I,2,32043,,Y,Salt Lake City Processing Site,1.60E+12,1.61E+12,POINT (-12457926.9638 4968513.647600003)
51,52,52,1993,\WY\SpookDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1206,16,43.238852,-105.622524,"Spook, WY, Disposal Site",SPK,WY,https://www.energy.gov/lm/spook-wyoming-disposal-site,UMTRCA Title I,2,32055,,Y,Spook Disposal Site,1.60E+12,1.61E+12,POINT (-11757845.588 5348398.511399999)
52,53,53,1998,\CO\SlickRockDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.054538,-108.864253,"Slick Rock, CO, Disposal Site",SRD,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2,6318,,Y,Slick Rock Disposal Site,1.60E+12,1.61E+12,POINT (-12118713.2096 4587133.070500001)
53,54,54,1998,\CO\SlickRockEastProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.043158,-108.894528,"Slick Rock East, CO, Processing Site",SRE,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2,26755,,Y,Slick Rock East Processing Site,1.60E+12,1.61E+12,POINT (-12122083.4071 4585524.386100002)
54,55,55,1998,\CO\SlickRockWestProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.045816,-108.909424,"Slick Rock West, CO, Processing Site",SRW,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2,6318,,Y,Slick Rock West Processing Site,1.60E+12,1.61E+12,POINT (-12123741.6223 4585900.100400001)
55,56,56,1996,\AZ\TubaCityDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=849,16,36.145483,-111.134793,"Tuba City, AZ, Disposal Site",TUB,AZ,https://www.energy.gov/lm/tuba-city-arizona-disposal-site,UMTRCA Title I,3,26749,,Y,Tuba City Disposal Site,1.60E+12,1.61E+12,POINT (-12371468.5662 4320658.117700003)
56,57,57,2003,\MO\WeldonSpring,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1347,13,38.698168,-90.728274,"Weldon Spring, MO, Site",WEL,MO,https://www.energy.gov/lm/weldon-spring-missouri-site,CERCLA/RCRA,3,102696,,Y,Weldon Spring Site,1.60E+12,1.61E+12,POINT (-10099825.2622 4678528.486100003)
57,58,58,2007,\NJ\Wayne,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2606,18,40.96981,-74.27027,"Wayne, NJ, Site",WYN,NJ,https://www.energy.gov/lm/wayne-new-jersey-site,FUSRAP,1,32011,,Y,Wayne Site,1.60E+12,1.61E+12,POINT (-8267728.637499999 5007889.665100001)
58,59,59,1996,\MI\Adrian,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2091,14,41.887939,-84.014692,"Adrian, MI, Site",ADR,MI,https://www.energy.gov/lm/adrian-michigan-site,FUSRAP,1,-1,,Y,Adrian Site,1.61E+12,1.61E+12,POINT (-9352472.7326 5144208.002300002)
59,60,60,1997,\PA\Aliquippa,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1792,14,40.642126,-80.243968,"Aliquippa, PA, Site",ALP,PA,https://www.energy.gov/lm/aliquippa-pennsylvania-site,FUSRAP,1,-1,,Y,Aliquippa Site,1.61E+12,1.61E+12,POINT (-8932717.657 4959697.778200001)
60,61,61,1993,\OR\Albany,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1760,14,44.62021,-123.1208,"Albany, OR, Site",AOR,OR,https://www.energy.gov//lm/albany-oregon-site,FUSRAP,1,-1,,Y,Albany Site,1.61E+12,1.61E+12,POINT (-13705744.7621 5561928.180100001)
61,62,62,1985,\NM\AcidPuebloCanyon,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1469,14,35.88441,-106.30667,"Acid_Pueblo_Canyon, NM, Site",APC,NM,https://www.energy.gov/lm/acidpueblo-canyon-new-mexico-site,FUSRAP,1,-1,,Y,Acid/Pueblo Canyon Site,1.61E+12,1.61E+12,POINT (-11834004.3723 4284728.000500001)
62,63,63,1984,\NM\BayoCanyon,https://www.energy.gov/sites/prod/files/2020/05/f74/BayoCanyonFactSheet.pdf,14,35.88755,-106.24657,"Bayo Canyon, NM, Site",BAY,NM,https://www.energy.gov/lm/bayo-canyon-new-mexico-aggregate-area-and-fusrap-sites,FUSRAP,2,-1,,Y,Bayo Canyon Site,1.61E+12,1.61E+12,POINT (-11827314.0709 4285159.436700001)
63,64,64,1985,\CA\Berkeley,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=733,14,37.87263,-122.25629,"Berkeley, CA, Site",BCA,CA,https://www.energy.gov/lm/berkeley-california-site,FUSRAP,1,-1,,Y,Berkeley Site,1.61E+12,1.61E+12,POINT (-13609507.9491 4561448.2962)
64,65,65,2004,\MA\Beverly,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2165,14,42.54042,-70.88862,"Beverly, MA, Site",BEV,MA,https://www.energy.gov/lm/beverly-massachusetts-site,FUSRAP,1,-1,,Y,Beverly Site,1.61E+12,1.61E+12,POINT (-7891285.0814 5242278.663199998)
65,66,66,2015,\CA\BurrisPark,https://www.lm.doe.gov/BurrisPark/Factsheet.pdf,14,36.45029,-119.57535,"Burris Park, CA, Site",BRP,CA,https://www.energy.gov/lm/burris-park-california-site,MED/AEC Legacy Site,2,-1,,Y,Burris Park Site,1.61E+12,1.61E+12,POINT (-13311067.0734 4362758.791599996)
66,67,67,2002,\NY\Buffalo,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2196,14,42.84099,-78.83386,"Buffalo, NY, Site",BUF,NY,https://www.energy.gov/lm/buffalo-new-york-site,FUSRAP,1,2262,,Y,Buffalo Site,1.60E+12,1.61E+12,POINT (-8775745.1525 5287800.136799999)
67,68,68,1986,\NM\ChupaderaMesa,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1494,14,34.09813,-106.20924,"Chupadera Mesa, NM, Site",CHM,NM,https://www.energy.gov/lm/chupadera-mesa-new-mexico-site,FUSRAP,1,-1,,Y,Chupadera Mesa Site,1.61E+12,1.61E+12,POINT (-11823158.5143 4041986.110799998)
68,69,69,1989,\IL\ChicagoNorth,https://www.lm.doe.gov/Chicago_North/factsheet.pdf,14,41.799395,-87.606969,"Chicago North, IL, Site",CHN,IL,https://www.energy.gov/lm/chicago-north-illinois-site,FUSRAP,1,-1,,Y,Chicago North Site,1.61E+12,1.61E+12,POINT (-9752363.179 5130976.9934)
69,70,70,1989,\IL\ChicagoSouth,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1239,14,41.790408,-87.599677,"Chicago South, IL, Site",CHS,IL,https://www.energy.gov/lm/chicago-south-illinois-site,FUSRAP,1,-1,,Y,Chicago South Site,1.61E+12,1.61E+12,POINT (-9751551.4373 5129635.100900002)
70,71,71,2001,\OH\ColumbusEast,https://www.lm.doe.gov/Columbus_East/factsheet.pdf,14,39.95694,-83.01174,"Columbus East, OH, Site",COE,OH,https://www.energy.gov/lm/columbus-east-ohio-site,FUSRAP,1,-1,,Y,Columbus East Site,1.61E+12,1.61E+12,POINT (-9240824.626700001 4859686.889200002)
71,72,72,1996,\OH\Fairfield,https://www.lm.doe.gov/Fairfield/factsheet.pdf,14,39.36087,-84.54117,"Fairfield, OH, Site",FFO,OH,https://www.energy.gov/lm/fairfield-ohio-site,FUSRAP,1,-1,,Y,Fairfield Site,1.61E+12,1.61E+12,POINT (-9411079.9955 4773495.7192)
72,73,73,1994,\IL\GraniteCity,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1249,14,38.69149,-90.16289,"Granite City, IL, Site",GRC,IL,https://www.energy.gov/lm/granite-city-illinois-site,FUSRAP,1,-1,,Y,Granite City Site,1.61E+12,1.61E+12,POINT (-10036887.0032 4677576.0145)
73,74,74,1997,\OH\Hamilton,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1725,14,39.38207,-84.54708,"Hamilton, OH, Site",HAO,OH,https://www.energy.gov/lm/hamilton-ohio-site,FUSRAP,1,-1,,Y,Hamilton Site,1.61E+12,1.61E+12,POINT (-9411737.8937 4776548.529100001)
74,75,75,2004,\MA\IndianOrchard,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2173,14,42.15423,-72.49972,"Indian Orchard, MA, Site",INO,MA,https://www.energy.gov/lm/indian-orchard-massachusetts-site,FUSRAP,1,-1,,Y,Indian Orchard Site,1.61E+12,1.61E+12,POINT (-8070631.9131 5184110.420900002)
75,76,76,1983,\NJ\JerseyCity,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1405,14,40.70906,-74.10219,"Jersey City, NJ, Site",JEC,NJ,https://www.energy.gov/lm/jersey-city-new-jersey-site,FUSRAP,1,-1,,Y,Jersey City Site,1.61E+12,1.61E+12,POINT (-8249018.057499999 4969522.331900001)
76,77,77,2002,\IL\Madison,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2550,14,38.68817,-90.166642,"Madison, IL, Site",MAD,IL,https://www.energy.gov/lm/madison-illinois-site,FUSRAP,1,102672,,Y,Madison Site,1.60E+12,1.61E+12,POINT (-10037304.674 4677102.521700002)
77,78,78,1992,\NY\NiagaraFallsStorageVicinityProperties,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2226,14,43.21992684,-78.9732975,"Niagara Falls Storage Site Vicinity Properties, NY, Site",NFV,NY,https://www.energy.gov/lm/niagara-falls-storage-site-vicinity-properties-new-york-site,FUSRAP,1,-1,,Y,Niagara Falls Storage Site Vicinity Properties Site,1.61E+12,1.61E+12,POINT (-8791267.264 5345507.090999998)
78,79,79,2001,\NJ\NewBrunswick,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1448,14,40.470348,-74.476119,"New Brunswick, NJ, Site",NWB,NJ,https://www.energy.gov/lm/new-brunswick-new-jersey-site,FUSRAP,2,3424,,Y,New Brunswick Site,1.60E+12,1.61E+12,POINT (-8290643.643300001 4934529.235600002)
79,80,80,1996,\NY\NewYork,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1608,14,40.74649,-74.00658,"New York, NY, Site",NYN,NY,https://www.energy.gov/lm/new-york-new-york-site,FUSRAP,1,-1,,Y,New York Site,1.61E+12,1.61E+12,POINT (-8238374.801000001 4975020.601899996)
80,81,81,1994,\TN\OakRidgeWarehouses,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1847,14,36.042608,-84.207185,"Oak Ridge, TN, Warehouses Site",ORW,TN,https://www.energy.gov/lm/oak-ridge-tennessee-warehouses-site,FUSRAP,1,-1,,Y,Oak Ridge Warehouses Site,1.61E+12,1.61E+12,POINT (-9373900.9553 4306485.752099998)
81,82,82,1997,\OH\Oxford,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1735,14,39.50375,-84.743455,"Oxford, OH, Site",OXO,OH,https://www.energy.gov/lm/oxford-ohio-site,FUSRAP,1,-1,,Y,Oxford Site,1.61E+12,1.61E+12,POINT (-9433598.2587 4794088.4727)
82,83,83,1995,\CT\Seymour,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1143,14,41.39823,-73.073137,"Seymour, CT, Site",SCT,CT,https://www.energy.gov/lm/seymour-connecticut-site,FUSRAP,1,-1,,Y,Seymour Site,1.61E+12,1.61E+12,POINT (-8134464.4015 5071259.139899999)
83,84,84,1996,\PA\Springdale,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1814,14,40.537774,-79.782012,"Springdale, PA, Site",SPP,PA,https://www.energy.gov/lm/springdale-pennsylvania-site,FUSRAP,1,-1,,Y,Springdale Site,1.61E+12,1.61E+12,POINT (-8881292.950300001 4944400.6514)
84,85,85,2001,\OH\Toledo,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1750,14,41.672238,-83.568668,"Toledo, OH, Site",TLO,OH,https://www.energy.gov/lm/toledo-ohio-site,FUSRAP,1,-1,,Y,Toledo Site,1.61E+12,1.61E+12,POINT (-9302821.568 5112008.031900004)
85,86,86,2009,\NY\TonawandaNorthUnit1,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2256,14,42.992981,-78.920112,"Tonawanda North, NY, Site Unit 1",TN1,NY,https://www.energy.gov/lm/tonawanda-north-new-york-site-unit-1,FUSRAP,1,-1,,Y,Tonawanda North Site Unit 1,1.61E+12,1.61E+12,POINT (-8785346.6812 5310903.544600002)
86,87,87,2009,\NY\TonawandaNorthUnit2,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2256,14,42.998275,-78.915436,"Tonawanda North, NY, Site Unit 2",TN2,NY,https://www.energy.gov/lm/tonawanda-north-new-york-site-unit-2,FUSRAP,1,-1,,Y,Tonawanda North Site Unit 2,1.61E+12,1.61E+12,POINT (-8784826.1512 5311709.288000003)
87,459,88,2016,\OH\Painesville,https://www.lm.doe.gov/Painesville/PainesvilleFactSheet.pdf,14,41.756445,-81.236156,"Painesville, OH, Site",PAI,OH,https://www.energy.gov/lm/painesville-ohio-site,FUSRAP,2,-1,,Y,Painesville Site,1.61E+12,1.61E+12,POINT (-9043167.5199 5124565.618699998)
88,460,89,2017,\NY\Tonawanda,https://www.lm.doe.gov/Tonawanda/TonawandaFactSheet.pdf,14,42.97665,-78.89375,"Tonawanda, NY, Site",TON,NY,https://www.energy.gov/lm/tonawanda-new-york-site,FUSRAP,2,-1,,Y,Tonawanda Site,1.61E+12,1.61E+12,POINT (-8782412.0768 5308418.413900003)
89,461,90,2019,\CT\Windsor,https://www.lm.doe.gov/Windsor/Windsor_Fact_Sheet.pdf,14,41.880214,-72.71927,"Windsor, CT, Site",WIN,CT,https://www.energy.gov/lm/windsor-connecticut-site,FUSRAP,1,-1,,Y,Windsor Site,1.61E+12,1.61E+12,POINT (-8095072.1073 5143052.9366)
90,462,91,2019,\MA\Attleboro,https://www.lm.doe.gov/Attleboro/Attleboro_Fact_Sheet.pdf,14,41.94343,-71.234169,"Attleboro, MA, Site",ATT,MA,https://www.energy.gov/lm/attleboro-massachusetts-site,FUSRAP,1,-1,,Y,Attleboro Site,1.61E+12,1.61E+12,POINT (-7929751.4202 5152509.295400001)
91,463,92,2006,\CA\LaboratoryforEnergy-RelatedHealthResearch,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=909,14,38.519166,-121.755111,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,https://www.energy.gov/lm/laboratory-energy-related-health-research-lehr-california-site,CERCLA/RCRA,2,102642,,Y,Laboratory for Energy-Related Health Research Site,1.60E+12,1.61E+12,POINT (-13553716.958 4653028.403399996)
92,464,93,2004,\KY\MaxeyFlatsDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=6123,14,38.25875,-83.57,"Maxey Flats, KY, Disposal Site",MAX,KY,https://www.energy.gov/lm/maxey-flats-kentucky-disposal-site,CERCLA/RCRA,1,-1,,Y,Maxey Flats Disposal Site,1.61E+12,1.61E+12,POINT (-9302969.8456 4616043.271399997)
93,864,94,1958,\CO\GrandJunctionCalibrationModel,,14,39.043371,-108.573355,"Grand Junction, CO, Calibration Model",GJC,CO,,Unknown,,-1,,Y,Grand Junction Calibration Model,1.61E+12,1.61E+12,POINT (-12086330.5923 4727886.001599997)
94,865,95,1976,\CO\GrandJunctionRegionalAirportCalibrationModel,,14,39.128555,-108.53707,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,,Unknown,,-1,,Y,Grand Junction Regional Airport Calibration Model,1.61E+12,1.61E+12,POINT (-12082291.3646 4740102.737800002)
95,866,96,1967,\NM\GrantsCalibrationModel,,14,35.25447,-107.84307,"Grants, NM, Calibration Model",GNC,NM,,Unknown,,32012,,Y,Grants Calibration Model,1.55E+12,1.61E+12,POINT (-12005035.638 4198516.598200001)
96,867,97,1967,\TX\GeorgeWestCalibrationModel,,14,28.334928,-98.050831,"George West, TX, Calibration Model",GWC,TX,,Unknown,,-1,,Y,George West Calibration Model,1.61E+12,1.61E+12,POINT (-10914968.5788 3291266.549199998)
97,868,98,1967,\WY\CasperCalibrationModel,,14,42.900981,-106.445354,"Casper, WY, Calibration Model",CSC,WY,,Unknown,,-1,,Y,Casper Calibration Model,1.61E+12,1.61E+12,POINT (-11849442.6046 5296912.269599997)
98,1264,99,2019,\NY\Colonie,https://www.lm.doe.gov/Colonie/ColonieFactSheet.pdf,14,42.689729,-73.802984,"Colonie, NY, Site",CLN,NY,https://www.energy.gov/lm/colonie-new-york-site,FUSRAP,2,6318,,Y,Colonie Site,1.60E+12,1.61E+12,POINT (-8215710.597899999 5264864.049699999)
99,1265,100,2019,\CO\Bronco,,16,40.04797041,-108.3685855,"Bronco, CO, Site",BRO,CO,https://www.energy.gov/lm/plowsharevela-uniform-program-sites,PlowshareVelaUniform,2,-1,,Y,Bronco Site,1.61E+12,1.61E+12,POINT (-12063535.7548 4872915.659500003)
100,1266,101,2019,\ID\Pre-SchoonerII,,17,42.40104084,-115.5756959,"Pre-Schooner II, ID, Site",PSC,ID,https://www.energy.gov/lm/plowsharevela-uniform-program-sites,PlowshareVelaUniform,1,-1,,Y,Pre-Schooner II Site,1.61E+12,1.61E+12,POINT (-12865827.6126 5221244.014899999)
101,1267,102,2019,\MT\Pre-GondolaandTrencher,,15,47.92821359,-106.6492418,"Pre-Gondola and Trencher, MT, Site",PGD,MT,https://www.energy.gov/lm/plowsharevela-uniform-program-sites,PlowshareVelaUniform,2,-1,,Y,Pre-Gondola and Trencher Site,1.61E+12,1.61E+12,POINT (-11872139.2879 6094920.431599997)
102,1268,103,2019,\UT\Utah,,18,39.98549651,-109.6115518,"Utah, UT, Site",UTA,UT,https://www.energy.gov/lm/plowsharevela-uniform-program-sites,PlowshareVelaUniform,2,-1,,Y,Utah Site,1.61E+12,1.61E+12,POINT (-12201902.1343 4863834.896300003)
103,1670,106,2020,\NV\TonopahTestRange,https://www.energy.gov/sites/prod/files/2020/09/f79/TonopahTestRangeFactSheet.pdf,11,37.886032,-116.762188,"Tonopah Test Range, NV, Site",TTR,NV,https://www.energy.gov/lm/tonopah-test-range-nevada-site,Nevada Offsites,2,-1,,Y,Tonopah Test Range Site,1.61E+12,1.61E+12,POINT (-12997907.3121 4563338.443400003)